gameID,Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,spread,total,Predicted_Winner,Actual_Winner,Predicted_Spread,Actual_Spread,Predicted_Total,Actual_Total
202112110MEM,114.96,113,108.17,106,-8.5,218.5,home,home,-6.789999999999992,-7,223.13,219
202304070MIL,120.08,114,116.47,137,9.0,231.0,home,away,-3.6099999999999994,23,236.55,251
202112210DAL,109.05,114,105.66,102,3.5,212.5,home,home,-3.3900000000000006,-12,214.70999999999998,216
202210230ATL,117.4,109,111.47,126,-10.0,227.0,home,away,-5.930000000000007,17,228.87,235
202402290BRK,115.76,124,119.98,97,-1.5,220.5,away,home,4.219999999999999,-27,235.74,221
202401110OKC,123.98,139,112.99,77,-10.5,238.5,home,home,-10.990000000000009,-62,236.97,216
202203120SAS,118.25,108,120.61,119,-2.5,238.5,away,away,2.3599999999999994,11,238.86,227
202303230BRK,110.79,114,116.38,116,3.5,219.0,away,away,5.589999999999989,2,227.17000000000002,230
202403090GSW,117.67,113,113.24,126,-12.5,225.5,home,away,-4.430000000000007,13,230.91,239
202402040BOS,117.84,131,105.87,91,-18.5,219.5,home,home,-11.969999999999999,-40,223.71,222
202111230DET,104.51,92,107.43,100,10.5,208.0,away,away,2.9200000000000017,8,211.94,192
202402020MEM,114.13,101,105.13,121,7.5,225.0,home,away,-9.0,20,219.26,222
202303150SAS,113.57,128,116.91,137,4.5,225.5,away,away,3.3400000000000034,9,230.48,265
202402230OKC,126.56,147,114.31,106,-16.0,243.0,home,home,-12.25,-41,240.87,253
202303220WAS,115.64,104,117.35,118,9.0,225.5,away,away,1.7099999999999937,14,232.99,222
202203040DEN,122.07,116,110.53,101,-8.5,233.5,home,home,-11.539999999999992,-15,232.6,217
202212270TOR,111.77,113,109.69,124,-3.5,218.5,home,away,-2.0799999999999983,11,221.45999999999998,237
202302230IND,111.08,138,119.8,142,8.5,233.5,away,away,8.719999999999999,4,230.88,280
202312220GSW,124.74,129,115.97,118,-10.5,248.5,home,home,-8.769999999999996,-11,240.70999999999998,247
202404110BOS,120.31,109,109.28,118,-3.5,221.5,home,away,-11.030000000000001,9,229.59,227
202303200NYK,117.65,134,110.4,140,-8.0,228.0,home,away,-7.25,6,228.05,274
202204100BRK,117.35,134,119.1,126,-17.0,244.0,away,home,1.75,-8,236.45,260
202212140TOR,109.42,123,108.71,124,-5.0,232.0,home,away,-0.710000000000008,1,218.13,247
202201030LAC,105.23,104,106.24,122,-2.5,211.5,away,away,1.009999999999991,18,211.47,226
202112230IND,114.22,118,109.08,106,-7.0,224.0,home,home,-5.140000000000001,-12,223.3,224
202312060DET,110.63,102,113.56,116,0.5,216.5,away,away,2.930000000000007,14,224.19,218
202402060IND,117.72,132,116.76,129,-8.5,243.5,home,home,-0.9599999999999937,-3,234.48000000000002,261
202401120DEN,116.75,125,116.16,113,-5.5,230.0,home,home,-0.5900000000000034,-12,232.91,238
202204080UTA,115.86,105,113.62,111,-3.5,228.5,home,away,-2.239999999999995,6,229.48000000000002,216
202111120NOP,104.75,112,110.94,120,4.5,228.5,away,away,6.189999999999998,8,215.69,232
202203120MIA,116.49,104,109.89,113,-4.0,229.5,home,away,-6.599999999999994,9,226.38,217
202111110LAC,108.39,112,107.07,109,-3.5,221.5,home,home,-1.3200000000000074,-3,215.45999999999998,221
202402130ORL,115.98,113,109.49,127,2.5,222.5,home,away,-6.490000000000009,14,225.47,240
202312310OKC,121.15,124,118.17,108,-7.5,235.0,home,home,-2.980000000000004,-16,239.32,232
202212090BRK,116.5,120,105.49,116,-7.5,232.5,home,home,-11.010000000000005,-4,221.99,236
202111150CLE,103.02,92,95.4,98,-3.5,189.5,home,away,-7.61999999999999,6,198.42000000000002,190
202301190BOS,122.33,121,115.74,118,-7.0,241.5,home,home,-6.590000000000003,-3,238.07,239
202112170ATL,112.66,115,109.18,133,-3.5,225.5,home,away,-3.4799999999999898,18,221.84,248
202211230GSW,114.66,124,110.28,107,-10.0,223.0,home,home,-4.3799999999999955,-17,224.94,231
202312310NOP,119.0,129,112.27,109,-5.5,233.0,home,home,-6.730000000000004,-20,231.26999999999998,238
202301230HOU,114.38,119,116.06,114,6.0,232.0,away,home,1.6800000000000068,-5,230.44,233
202211150UTA,118.58,111,114.8,118,-4.0,232.0,home,away,-3.780000000000001,7,233.38,229
202403180BOS,124.44,119,105.37,94,-15.5,221.0,home,home,-19.069999999999993,-25,229.81,213
202112120LAL,109.56,106,108.25,94,-11.5,222.5,home,home,-1.3100000000000023,-12,217.81,200
202212270SAC,119.24,106,117.74,113,3.5,237.0,home,away,-1.5,7,236.98,219
202401130ATL,123.27,99,116.94,127,-8.0,248.5,home,away,-6.329999999999998,28,240.20999999999998,226
202210280MIL,107.03,119,108.46,108,-6.5,223.5,away,home,1.4299999999999926,-11,215.49,227
202301080HOU,115.84,96,116.98,104,4.0,232.5,away,away,1.1400000000000006,8,232.82,200
202301220DAL,113.27,98,109.17,112,-2.0,221.5,home,away,-4.099999999999994,14,222.44,210
202201010UTA,113.09,116,107.63,123,-5.5,223.5,home,away,-5.460000000000008,7,220.72,239
