Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,202311120PHO,0,1,32,83,.386,9,29,.310,26,31,.839,16,35,51,20,4,7,17,19,99,.512,.440,.349,.373,37.2,85.4,60.7,62.5,4.3,12.7,15.0,100.0,106.2,119.0
MIN,202311120GSW,1,0,43,82,.524,9,27,.333,21,30,.700,9,38,47,27,8,6,14,19,116,.609,.579,.329,.366,22.0,66.7,48.0,62.8,8.0,11.3,12.8,100.0,116.6,110.6
GSW,202311120GSW,0,1,37,96,.385,12,43,.279,24,28,.857,19,32,51,24,9,0,14,28,110,.508,.448,.448,.292,33.3,78.0,52.0,64.9,9.0,0.0,11.4,100.0,110.6,116.6
POR,202311120LAL,0,0,45,90,.500,13,37,.351,7,9,.778,5,33,38,29,2,8,16,25,110,.585,.572,.411,.100,12.8,82.5,48.1,64.4,2.0,12.3,14.6,100.0,108.3,114.2
LAL,202311120LAL,1,1,41,84,.488,4,19,.211,30,37,.811,7,34,41,27,8,4,9,11,116,.578,.512,.226,.440,17.5,87.2,51.9,65.9,7.9,7.5,8.2,100.0,114.2,108.3
NYK,202311130BOS,0,0,33,79,.418,15,35,.429,17,24,.708,12,25,37,17,5,2,12,16,98,.547,.513,.443,.304,29.3,75.8,50.0,51.5,5.8,5.6,11.8,100.0,113.6,132.2
BOS,202311130BOS,1,1,40,79,.506,19,43,.442,15,16,.938,8,29,37,27,3,3,11,22,114,.662,.627,.544,.203,24.2,70.7,50.0,67.5,3.5,6.8,11.3,100.0,132.2,113.6
WAS,202311130TOR,0,0,43,84,.512,12,26,.462,9,12,.750,8,30,38,32,11,5,22,22,107,.599,.583,.310,.143,20.0,65.2,44.2,74.4,10.8,7.1,19.8,100.0,104.8,108.7
TOR,202311130TOR,1,1,45,90,.500,4,20,.200,17,25,.680,16,32,48,28,11,4,19,13,111,.550,.522,.222,.278,34.8,80.0,55.8,62.2,10.8,6.9,15.8,100.0,108.7,104.8
CHI,202311130MIL,0,0,38,100,.380,14,42,.333,19,21,.905,18,29,47,24,9,7,8,25,109,.499,.450,.420,.210,31.0,69.0,47.0,63.2,9.1,16.7,6.8,100.0,110.6,119.8
MIL,202311130MIL,1,1,42,89,.472,15,47,.319,19,27,.704,13,40,53,23,3,5,17,23,118,.585,.556,.528,.303,31.0,69.0,53.0,54.8,3.0,8.6,14.4,100.0,119.8,110.6
CLE,202311130SAC,0,0,45,91,.495,16,35,.457,14,17,.824,14,25,39,24,3,1,11,18,120,.609,.582,.385,.187,32.6,75.8,51.3,53.3,3.2,2.4,10.0,100.0,129.2,142.1
SAC,202311130SAC,1,1,49,83,.590,20,42,.476,14,22,.636,8,29,37,32,3,4,10,19,132,.712,.711,.506,.265,24.2,67.4,48.7,65.3,3.2,7.1,9.7,100.0,142.1,129.2
MIA,202311140CHO,1,0,40,83,.482,8,31,.258,23,28,.821,10,32,42,26,12,5,8,19,111,.582,.530,.373,.337,23.8,71.1,48.3,65.0,13.0,10.2,7.7,100.0,119.9,113.4
CHO,202311140CHO,0,1,36,81,.444,15,32,.469,18,22,.818,13,32,45,21,6,0,18,21,105,.579,.537,.395,.272,28.9,76.2,51.7,58.3,6.5,0.0,16.6,100.0,113.4,119.9
ATL,202311140DET,1,0,45,87,.517,12,33,.364,24,26,.923,10,31,41,28,9,7,14,19,126,.640,.586,.379,.299,26.3,68.9,49.4,62.2,8.9,11.5,12.5,100.0,125.1,119.1
DET,202311140DET,0,1,47,90,.522,10,29,.345,16,23,.696,14,28,42,36,9,6,17,20,120,.599,.578,.322,.256,31.1,73.7,50.6,76.6,8.9,11.1,14.5,100.0,119.1,125.1
