Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,202111030IND,1,1,42,91,.462,16,41,.390,11,14,.786,10,39,49,26,7,7,13,22,111,.571,.549,.451,.154,23.8,73.6,51.6,61.9,7.3,11.1,11.8,100.0,116.5,102.9
BOS,202111030ORL,1,0,33,79,.418,10,37,.270,16,25,.640,9,41,50,24,7,9,11,20,92,.511,.481,.468,.316,19.1,83.7,52.1,72.7,7.5,22.0,10.9,100.0,98.1,84.2
ORL,202111030ORL,0,1,27,84,.321,9,43,.209,16,20,.800,8,38,46,15,8,1,15,20,79,.426,.375,.512,.238,16.3,80.9,47.9,55.6,8.5,2.4,13.9,100.0,84.2,98.1
CHI,202111030PHI,0,0,38,82,.463,6,21,.286,16,18,.889,9,38,47,19,11,4,16,17,98,.545,.500,.256,.220,23.1,88.4,57.3,50.0,11.6,8.2,15.1,100.0,103.8,109.1
PHI,202111030PHI,1,1,38,77,.494,12,28,.429,15,21,.714,5,30,35,24,9,4,14,15,103,.597,.571,.364,.273,11.6,76.9,42.7,63.2,9.5,6.6,14.0,100.0,109.1,103.8
TOR,202111030WAS,1,0,41,88,.466,10,25,.400,17,20,.850,10,32,42,17,10,3,12,23,109,.563,.523,.284,.227,22.7,76.2,48.8,41.5,10.6,6.5,11.0,100.0,115.7,106.2
WAS,202111030WAS,0,1,34,78,.436,8,32,.250,24,30,.800,10,34,44,19,6,7,13,15,100,.548,.487,.410,.385,23.8,77.3,51.2,55.9,6.4,11.1,12.5,100.0,106.2,115.7
ATL,202111030BRK,0,0,41,94,.436,13,35,.371,13,15,.867,12,40,52,23,8,4,14,16,108,.537,.505,.372,.160,25.5,85.1,55.3,56.1,8.0,10.0,12.2,100.0,107.4,116.3
BRK,202111030BRK,1,1,43,88,.489,22,48,.458,9,12,.750,7,35,42,34,7,8,16,18,117,.627,.614,.545,.136,14.9,74.5,44.7,79.1,7.0,13.6,14.6,100.0,116.3,107.4
DEN,202111030MEM,0,0,43,91,.473,8,27,.296,12,13,.923,11,33,44,24,7,4,12,16,106,.548,.516,.297,.143,25.0,91.7,55.0,55.8,7.3,8.5,11.0,100.0,111.3,113.4
MEM,202111030MEM,1,1,42,81,.519,16,34,.471,8,14,.571,3,33,36,28,9,7,12,16,108,.620,.617,.420,.173,8.3,75.0,45.0,66.7,9.4,10.9,12.1,100.0,113.4,111.3
LAC,202111030MIN,1,0,47,78,.603,21,36,.583,11,12,.917,3,32,35,33,6,7,21,14,126,.756,.737,.462,.154,11.1,68.1,47.3,70.2,6.0,13.0,20.1,100.0,125.9,114.9
MIN,202111030MIN,0,1,43,94,.457,14,40,.350,15,16,.938,15,24,39,27,11,2,17,16,115,.569,.532,.426,.170,31.9,88.9,52.7,62.8,11.0,4.8,14.4,100.0,114.9,125.9
DAL,202111030SAS,1,0,40,93,.430,8,34,.235,21,29,.724,15,41,56,21,10,4,19,23,109,.515,.473,.366,.312,30.0,89.1,58.3,52.5,9.4,6.0,15.2,100.0,102.7,101.7
SAS,202111030SAS,0,1,43,88,.489,7,21,.333,15,20,.750,5,35,40,25,10,10,15,24,108,.558,.528,.239,.227,10.9,70.0,41.7,58.1,9.4,16.9,13.4,100.0,101.7,102.7
CHO,202111030GSW,0,0,34,91,.374,10,36,.278,14,19,.737,9,40,49,18,10,2,16,14,92,.463,.429,.396,.209,16.4,85.1,48.0,52.9,9.6,4.9,13.9,100.0,88.5,109.7
GSW,202111030GSW,1,1,42,86,.488,18,45,.400,12,18,.667,7,46,53,33,14,4,17,17,114,.607,.593,.523,.209,14.9,83.6,52.0,78.6,13.5,7.3,15.3,100.0,109.7,88.5
NOP,202111030SAC,0,0,37,86,.430,12,34,.353,13,15,.867,8,32,40,24,1,3,17,16,99,.535,.500,.395,.174,19.5,88.9,51.9,64.9,1.0,6.0,15.5,100.0,103.6,117.2
SAC,202111030SAC,1,1,42,80,.525,10,30,.333,18,22,.818,4,33,37,27,8,7,8,21,112,.624,.588,.375,.275,11.1,80.5,48.1,64.3,8.4,13.5,8.2,100.0,117.2,103.6
PHI,202111040DET,1,0,41,83,.494,12,32,.375,15,22,.682,15,34,49,22,8,3,15,17,109,.588,.566,.386,.265,34.1,73.9,54.4,53.7,8.8,5.9,13.9,100.0,119.4,107.4
DET,202111040DET,0,1,35,87,.402,11,36,.306,17,19,.895,12,29,41,21,6,2,11,18,98,.514,.466,.414,.218,26.1,65.9,45.6,60.0,6.6,3.9,10.3,100.0,107.4,119.4
UTA,202111040ATL,1,0,41,81,.506,17,41,.415,17,23,.739,8,38,46,30,6,4,17,20,116,.637,.611,.506,.284,22.9,88.4,59.0,73.2,6.2,7.4,15.7,100.0,120.2,101.6
ATL,202111040ATL,0,1,35,82,.427,7,28,.250,21,26,.808,5,27,32,18,11,4,9,24,98,.524,.470,.341,.317,11.6,77.1,41.0,51.4,11.4,10.0,8.8,100.0,101.6,120.2
BOS,202111040MIA,1,0,31,78,.397,16,41,.390,17,20,.850,11,35,46,16,7,4,16,16,95,.547,.500,.526,.256,25.6,72.9,50.5,51.6,7.8,10.0,15.6,100.0,105.3,86.5
MIA,202111040MIA,0,1,28,81,.346,9,41,.220,13,19,.684,13,32,45,18,8,0,18,19,78,.436,.401,.506,.235,27.1,74.4,49.5,64.3,8.9,0.0,16.8,100.0,86.5,105.3
HOU,202111040PHO,0,0,38,88,.432,11,32,.344,24,28,.857,7,36,43,25,4,4,19,21,111,.553,.494,.364,.318,17.5,73.5,48.3,65.8,3.8,6.5,15.9,100.0,106.2,117.6
PHO,202111040PHO,1,1,44,93,.473,14,31,.452,21,23,.913,13,33,46,29,12,8,12,24,123,.596,.548,.333,.247,26.5,82.5,51.7,65.9,11.5,14.3,10.4,100.0,117.6,106.2
OKC,202111040LAL,1,0,37,87,.425,15,41,.366,18,26,.692,12,38,50,23,7,2,16,16,107,.543,.511,.471,.299,26.7,70.4,50.5,62.2,7.1,3.3,14.0,100.0,108.9,105.9
LAL,202111040LAL,0,1,39,94,.415,12,33,.364,14,17,.824,16,33,49,22,8,5,14,21,104,.512,.479,.351,.181,29.6,73.3,49.5,56.4,8.1,10.9,12.1,100.0,105.9,108.9
BRK,202111050DET,1,0,36,80,.450,11,27,.407,13,14,.929,4,41,45,25,3,4,17,21,96,.557,.519,.338,.175,9.8,85.4,50.6,69.4,3.0,7.5,16.5,100.0,97.1,91.0
DET,202111050DET,0,1,33,87,.379,11,34,.324,13,18,.722,7,37,44,17,11,6,14,22,90,.474,.443,.391,.207,14.6,90.2,49.4,51.5,11.1,11.3,12.9,100.0,91.0,97.1
SAS,202111050ORL,1,0,40,90,.444,6,19,.316,16,18,.889,5,43,48,23,11,7,13,14,102,.521,.478,.211,.200,12.2,86.0,52.7,57.5,10.6,14.6,11.7,100.0,98.7,86.2
ORL,202111050ORL,0,1,35,89,.393,12,41,.293,7,10,.700,7,36,43,23,9,12,18,13,89,.476,.461,.461,.112,14.0,87.8,47.3,65.7,8.7,16.9,16.2,100.0,86.2,98.7
MEM,202111050WAS,0,0,34,96,.354,6,31,.194,13,17,.765,12,27,39,19,12,4,9,15,87,.420,.385,.323,.177,20.0,84.4,42.4,55.9,11.9,6.8,8.0,100.0,86.6,114.5
WAS,202111050WAS,1,1,49,84,.583,10,25,.400,7,13,.538,5,48,53,34,4,6,19,13,115,.641,.643,.298,.155,15.6,80.0,57.6,69.4,4.0,9.2,17.5,100.0,114.5,86.6
NYK,202111050MIL,1,0,41,96,.427,10,40,.250,21,26,.808,20,39,59,16,12,4,15,17,113,.526,.479,.417,.271,40.0,84.8,61.5,39.0,12.3,10.3,12.3,100.0,115.7,100.4
MIL,202111050MIL,0,1,33,82,.402,16,43,.372,16,21,.762,7,30,37,19,5,5,15,20,98,.537,.500,.524,.256,15.2,60.0,38.5,57.6,5.1,8.9,14.1,100.0,100.4,115.7
CLE,202111050TOR,1,0,38,83,.458,10,30,.333,16,19,.842,11,28,39,22,4,3,18,13,102,.558,.518,.361,.229,29.7,59.6,46.4,57.9,4.4,4.2,16.5,100.0,111.9,110.8
TOR,202111050TOR,0,1,42,99,.424,12,27,.444,5,9,.556,19,26,45,20,10,8,10,19,101,.490,.485,.273,.091,40.4,70.3,53.6,47.6,11.0,15.1,8.9,100.0,110.8,111.9
LAC,202111050MIN,1,0,36,88,.409,6,28,.214,26,32,.813,15,47,62,18,12,4,17,16,104,.509,.443,.318,.364,30.0,87.0,59.6,50.0,11.6,10.8,14.3,100.0,100.5,81.2
MIN,202111050MIN,0,1,31,89,.348,17,52,.327,5,7,.714,7,35,42,17,8,7,22,33,84,.456,.444,.584,.079,13.0,70.0,40.4,54.8,7.7,11.7,19.3,100.0,81.2,100.5
NOP,202111050GSW,0,0,31,88,.352,11,44,.250,12,16,.750,11,31,42,23,6,3,19,18,85,.447,.415,.500,.182,21.6,77.5,46.2,74.2,6.1,7.3,16.7,100.0,86.2,127.8
GSW,202111050GSW,1,1,47,91,.516,20,50,.400,12,14,.857,9,40,49,36,10,4,11,16,126,.648,.626,.549,.154,22.5,78.4,53.8,76.6,10.1,9.1,10.2,100.0,127.8,86.2
IND,202111050POR,0,0,43,88,.489,14,42,.333,6,10,.600,7,33,40,28,8,2,11,18,106,.574,.568,.477,.114,16.3,84.6,48.8,65.1,8.4,4.7,10.6,100.0,111.4,115.6
POR,202111050POR,1,1,40,82,.488,17,39,.436,13,15,.867,6,36,42,27,7,4,14,15,110,.621,.591,.476,.183,15.4,83.7,51.2,67.5,7.4,8.7,13.6,100.0,115.6,111.4
CHO,202111050SAC,0,0,43,92,.467,11,35,.314,13,21,.619,7,21,28,29,8,5,10,19,110,.543,.527,.380,.228,14.0,61.8,33.3,67.4,7.9,11.6,9.0,100.0,108.6,138.3
SAC,202111050SAC,1,1,48,87,.552,22,44,.500,22,26,.846,13,43,56,29,5,1,18,21,140,.711,.678,.506,.299,38.2,86.0,66.7,60.4,4.9,1.8,15.5,100.0,138.3,108.6
HOU,202111060DEN,0,0,35,75,.467,8,28,.286,16,24,.667,7,40,47,19,8,6,17,16,94,.549,.520,.373,.320,16.7,80.0,51.1,54.3,8.4,12.2,16.6,100.0,99.0,100.0
DEN,202111060DEN,1,1,36,89,.404,9,40,.225,14,17,.824,10,35,45,19,10,5,11,20,95,.492,.455,.449,.191,20.0,83.3,48.9,52.8,10.5,10.6,10.2,100.0,100.0,99.0
UTA,202111060MIA,0,0,43,83,.518,15,45,.333,14,19,.737,7,24,31,26,10,3,6,19,115,.629,.608,.542,.229,19.4,77.4,46.3,60.5,11.1,5.3,6.2,100.0,128.1,131.4
MIA,202111060MIA,1,1,47,78,.603,11,21,.524,13,17,.765,7,29,36,30,3,1,14,18,118,.690,.673,.269,.218,22.6,80.6,53.7,63.8,3.3,2.6,14.1,100.0,131.4,128.1
PHI,202111060CHI,1,0,43,81,.531,13,26,.500,15,19,.789,6,35,41,22,6,5,14,22,114,.638,.611,.321,.235,17.6,66.0,47.1,51.2,6.4,7.9,13.5,100.0,121.0,111.4
CHI,202111060CHI,0,1,37,92,.402,7,29,.241,24,30,.800,18,28,46,20,7,1,9,19,105,.499,.440,.315,.326,34.0,82.4,52.9,54.1,7.4,1.8,7.9,100.0,111.4,121.0
