Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHO,202111050SAC,0,0,43,92,0.467,11,35,0.314,13,21,0.619,7,21,28,29,8,5,10,19,110,0.543,0.527,0.38,0.228,14.0,61.8,33.3,67.4,7.9,11.6,9.0,100.0,108.6,138.3
SAC,202111050SAC,1,1,48,87,0.552,22,44,0.5,22,26,0.846,13,43,56,29,5,1,18,21,140,0.711,0.678,0.506,0.299,38.2,86.0,66.7,60.4,4.9,1.8,15.5,100.0,138.3,108.6
HOU,202111060DEN,0,0,35,75,0.467,8,28,0.286,16,24,0.667,7,40,47,19,8,6,17,16,94,0.549,0.52,0.373,0.32,16.7,80.0,51.1,54.3,8.4,12.2,16.6,100.0,99.0,100.0
DEN,202111060DEN,1,1,36,89,0.404,9,40,0.225,14,17,0.824,10,35,45,19,10,5,11,20,95,0.492,0.455,0.449,0.191,20.0,83.3,48.9,52.8,10.5,10.6,10.2,100.0,100.0,99.0
UTA,202111060MIA,0,0,43,83,0.518,15,45,0.333,14,19,0.737,7,24,31,26,10,3,6,19,115,0.629,0.608,0.542,0.229,19.4,77.4,46.3,60.5,11.1,5.3,6.2,100.0,128.1,131.4
MIA,202111060MIA,1,1,47,78,0.603,11,21,0.524,13,17,0.765,7,29,36,30,3,1,14,18,118,0.69,0.673,0.269,0.218,22.6,80.6,53.7,63.8,3.3,2.6,14.1,100.0,131.4,128.1
PHI,202111060CHI,1,0,43,81,0.531,13,26,0.5,15,19,0.789,6,35,41,22,6,5,14,22,114,0.638,0.611,0.321,0.235,17.6,66.0,47.1,51.2,6.4,7.9,13.5,100.0,121.0,111.4
CHI,202111060CHI,0,1,37,92,0.402,7,29,0.241,24,30,0.8,18,28,46,20,7,1,9,19,105,0.499,0.44,0.315,0.326,34.0,82.4,52.9,54.1,7.4,1.8,7.9,100.0,111.4,121.0
BOS,202111060DAL,0,0,42,86,0.488,9,31,0.29,11,16,0.688,8,28,36,20,6,2,11,14,104,0.559,0.541,0.36,0.186,19.5,80.0,47.4,47.6,6.5,5.1,10.6,100.0,112.5,115.7
DAL,202111060DAL,1,1,41,78,0.526,13,39,0.333,12,14,0.857,7,33,40,19,7,6,15,18,107,0.636,0.609,0.5,0.179,20.0,80.5,52.6,46.3,7.6,10.9,15.1,100.0,115.7,112.5
ATL,202111060PHO,0,0,42,97,0.433,13,33,0.394,20,23,0.87,14,36,50,18,3,1,12,16,117,0.546,0.5,0.34,0.237,27.5,87.8,54.3,42.9,2.9,2.2,10.1,100.0,114.2,118.1
PHO,202111060PHO,1,1,45,88,0.511,14,43,0.326,17,21,0.81,5,37,42,26,8,6,12,22,121,0.622,0.591,0.489,0.239,12.2,72.5,45.7,57.8,7.8,9.4,11.0,100.0,118.1,114.2
LAL,202111060POR,0,0,31,90,0.344,9,32,0.281,19,24,0.792,11,48,59,20,8,5,19,17,90,0.447,0.394,0.356,0.267,21.6,80.0,53.2,64.5,7.7,12.5,15.9,100.0,86.1,100.5
POR,202111060POR,1,1,36,95,0.379,15,55,0.273,18,24,0.75,12,40,52,22,14,7,12,21,105,0.497,0.458,0.579,0.253,20.0,78.4,46.8,61.1,13.4,12.1,10.2,100.0,100.5,86.1
BRK,202111070TOR,1,0,41,80,0.513,17,38,0.447,17,20,0.85,12,36,48,29,3,0,16,15,116,0.653,0.619,0.475,0.25,30.8,81.8,57.8,70.7,3.3,0.0,15.3,100.0,125.8,111.7
TOR,202111070TOR,0,1,41,87,0.471,7,30,0.233,14,18,0.778,8,27,35,23,10,6,8,16,103,0.543,0.511,0.345,0.207,18.2,69.2,42.2,56.1,10.8,14.3,7.8,100.0,111.7,125.8
CLE,202111070NYK,1,0,49,90,0.544,19,35,0.543,9,11,0.818,11,37,48,31,8,2,17,18,126,0.664,0.65,0.389,0.122,30.6,84.1,60.0,63.3,8.2,3.7,15.2,100.0,128.7,111.4
NYK,202111070NYK,0,1,39,85,0.459,9,31,0.29,22,24,0.917,7,25,32,21,9,9,11,14,109,0.57,0.512,0.365,0.282,15.9,69.4,40.0,53.8,9.2,16.4,10.3,100.0,111.4,128.7
UTA,202111070ORL,0,0,34,89,0.382,8,42,0.19,24,29,0.828,16,34,50,21,10,7,18,17,100,0.491,0.427,0.472,0.326,33.3,82.9,56.2,61.8,10.2,12.7,15.0,100.0,102.4,109.5
ORL,202111070ORL,1,1,43,87,0.494,12,32,0.375,9,11,0.818,7,32,39,24,8,8,13,22,107,0.583,0.563,0.368,0.126,17.1,66.7,43.8,55.8,8.2,17.0,12.4,100.0,109.5,102.4
IND,202111070SAC,1,0,37,83,0.446,6,25,0.24,14,18,0.778,13,41,54,13,8,7,21,24,94,0.517,0.482,0.301,0.217,34.2,83.7,62.1,35.1,8.4,14.0,18.8,100.0,99.0,95.8
SAC,202111070SAC,0,1,31,84,0.369,10,34,0.294,19,22,0.864,8,25,33,20,14,6,12,18,91,0.486,0.429,0.405,0.262,16.3,65.8,37.9,64.5,14.7,10.3,11.4,100.0,95.8,99.0
MIL,202111070WAS,0,0,37,94,0.394,10,36,0.278,10,18,0.556,16,33,49,17,14,3,13,10,94,0.461,0.447,0.383,0.191,29.6,89.2,53.8,45.9,14.2,5.6,11.3,100.0,95.6,102.7
WAS,202111070WAS,1,1,41,81,0.506,11,27,0.407,8,13,0.615,4,38,42,24,8,8,19,16,101,0.582,0.574,0.333,0.16,10.8,70.4,46.2,58.5,8.1,13.8,18.0,100.0,102.7,95.6
SAS,202111070OKC,0,0,41,100,0.41,6,30,0.2,6,9,0.667,11,35,46,29,9,10,10,16,94,0.452,0.44,0.3,0.09,20.8,70.0,44.7,70.7,9.1,19.2,8.8,100.0,94.7,99.7
OKC,202111070OKC,1,1,35,94,0.372,12,42,0.286,17,20,0.85,15,42,57,21,5,7,15,14,99,0.482,0.436,0.447,0.213,30.0,79.2,55.3,60.0,5.0,10.0,12.7,100.0,99.7,94.7
